AI Use Case,Commercial Examples,Agency Use (Y/N)?,Name of Commercial Product or Service Used,Estimated # of Licenses/Users
Scheduling internal-to-government meetings or appointments or setting reminders using AI.,"Calendly, Reclaim.AI",N,,
Logging and analyzing time spent on tasks using AI-powered time management tools.,"Timely, Asana",N,,
"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.","Otter.ai, Evernote, Fireflies",Y,"Microsoft Teams, Zoom","50,000+"
Prioritizing and categorizing incoming emails using AI.,"SaneBox, OpenPaas",N,,
"Editing images, videos, or other public affairs materials using AI.","Adobe Firefly, Instagram Edits",Y,"HeyGen, ChatGPT","5001-10,000"
Scheduling and managing social media posts using AI.,"ContentStudio, Sprout Social",N,,
"Generating first drafts of documents, briefing, or communication materials using AI.","ChatGPT, Gemini",Y,"ChatGPT, Gemini, Claude, Grammarly","5001-10,000"
 Improving the quality of written communications using AI tools.,"Grammarly, ProWritingAid",Y,"Grammarly, ChatGPT, Gemini, Claude, NotebookLM","5001-10,000"
Summarizing the key points of a lengthy report using AI.,"ChatGPT, Perplexity",Y,"ChatGPT, Gemini, Claude, Grammarly, Perplexity, NotebookLM","5001-10,000"
Creating visual representations of data sets for reports or presentations using AI.,"Tableau Agent, Julius AI",Y,"NotebookLM, HeyGen",1-100
Using AI-assisted tools in word processors.,"Grammarly, Microsoft Copilot",Y,Grammarly,101-1000
Generating code using AI.,"Poolside, GitHub Copilot",Y,"ChatGPT, Claude",1001-5000
Searching for agency information using a knowledge retrieval system.,"ChatGPT, Gemini",Y,"ChatGPT, Claude","5001-10,000"
Identifying and cataloging items in a storage room using AI-driven image recognition.,Google Lens,N,,
"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI","Crowdstrike Falcon, Microsoft Defender",Y,"Microsoft Defender, US AI Archangel, CRIBL, DATABRICKS, SimpleChat, SplunkCloud, Microsoft Purview, ServiceNow Now Assist, Dark Trace",1001-5000
Managing and prioritizing internal service or help desk tickets using AI.,"Supportbench, ServiceDesk Plus",Y,ServiceNow,101-1000
Curating news articles and updates based on user preferences using AI.,"MediaViz AI, Google News Brief",Y,"ChatGPT, Claude, Gemini, NotebookLM, Perplexity",1001-5000
Planning travel routes using AI-driven map applications.,"Google Maps, Apple Maps",N,,
Finding and booking travel accommodations using AI-powered platforms.,"SAP Concur, Navan",N,,
Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,"Apple iPhone, Google Pixel",Y,Apple iPhone,"50,000+"
