AI Use Case,Commercial Examples,Agency Use (Y/N)?,Name of Commercial Product or Service Used,Estimated # of Licenses/Users
Scheduling internal-to-government meetings or appointments or setting reminders using AI.,"Calendly, Reclaim.AI",Y,N/A,101-1000
Logging and analyzing time spent on tasks using AI-powered time management tools.,"Timely, Asana",,,
"Transcribing, summarizing, or other efforts that improve the accessibility of a virtual meeting or interview using AI.","Otter.ai, Evernote, Fireflies",Y,N/A,"10,000-50,000"
Prioritizing and categorizing incoming emails using AI.,"SaneBox, OpenPaas",Y,N/A,101-1000
"Editing images, videos, or other public affairs materials using AI.","Adobe Firefly, Instagram Edits",Y,N/A,1-100
Scheduling and managing social media posts using AI.,"ContentStudio, Sprout Social",Y,N/A,1-100
"Generating first drafts of documents, briefing, or communication materials using AI.","ChatGPT, Gemini",Y,N/A,"5001-10,000"
 Improving the quality of written communications using AI tools.,"Grammarly, ProWritingAid",Y,N/A,"5001-10,000"
Summarizing the key points of a lengthy report using AI.,"ChatGPT, Perplexity",Y,N/A,"5001-10,000"
Creating visual representations of data sets for reports or presentations using AI.,"Tableau Agent, Julius AI",Y,N/A,101-1000
Using AI-assisted tools in word processors.,"Grammarly, Microsoft Copilot",Y,N/A,101-1000
Generating code using AI.,"Poolside, GitHub Copilot",Y,N/A,1001-5000
Searching for agency information using a knowledge retrieval system.,"ChatGPT, Gemini",Y,N/A,1001-5000
Identifying and cataloging items in a storage room using AI-driven image recognition.,Google Lens,,,
"Managing or implementing security controls for information systems (e.g., cybersecurity) using AI","Crowdstrike Falcon, Microsoft Defender",Y,N/A,1-100
Managing and prioritizing internal service or help desk tickets using AI.,"Supportbench, ServiceDesk Plus",,,
Curating news articles and updates based on user preferences using AI.,"MediaViz AI, Google News Brief",Y,N/A,1001-5000
Planning travel routes using AI-driven map applications.,"Google Maps, Apple Maps",Y,N/A,"50,000+"
Finding and booking travel accommodations using AI-powered platforms.,"SAP Concur, Navan",,,
Unlocking smartphones or other devices without the need for passwords or PINs using AI-based facial recognition technology.,"Apple iPhone, Google Pixel",Y,N/A,"10,000-50,000"
